election,Cond committee,STV winners,RCV winners,prop get at least one STV,prop get at least one RCV,prop get all STV,prop get all RCV,parties STV,parties RCV,num parties STV,num parties RCV
e-lothian12-ballots/e-lothian12-01.blt,DE,DE,DE,0.816926242,0.816926242,0.230091096,0.230091096,"Lab, SNP","Lab, SNP",2,2
e-renfs17-ballots/e-renfs17-1.blt,CE,CE,CE,0.675102502,0.675102502,0.088929733,0.088929733,"Ind, SNP","Ind, SNP",2,2
e-renfs17-ballots/e-renfs17-2.blt,CG,CG,CG,0.756564822,0.756564822,0.150784476,0.150784476,"Con, Lab","Con, Lab",2,2
e-renfs17-ballots/e-renfs17-3.blt,DI,FI,HI,0.675312706,0.434233048,0.070836076,0.305990783,"Con, SNP","Con, Con",2,1
e-renfs17-ballots/e-renfs17-4.blt,EG,CG,AG,0.562971675,0.387631089,0.011663236,0.255807116,"Con, SNP","Con, Con",2,1
e-renfs17-ballots/e-renfs17-5.blt,CH,CH,CH,0.631126573,0.631126573,0.235956206,0.235956206,"Con, Con","Con, Con",1,1
moray22/file141902.txt,AD,AC,AE,0.77856564,0.505672609,0.128444084,0.306523501,"Con, SNP","Con, Con",2,1
moray22/file141915.txt,CE,CE,CE,0.759970458,0.759970458,0.397341211,0.397341211,"SNP, Lab","Lab, SNP",2,2
moray22/file141913.txt,CF,CF,CF,0.751767265,0.751767265,0.262642741,0.262642741,"SNP, Lab","Lab, SNP",2,2
moray22/file141922.txt,BE,BE,BE,0.842000991,0.842000991,0.103351494,0.103351494,"SNP, Con","SNP, Con",2,2
moray22/file141894.txt,CD,CD,CD,0.896270396,0.896270396,0.226689977,0.226689977,"SNP, Con","SNP, Con",2,2
moray22/file141896.txt,CD,CD,CD,0.871371371,0.871371371,0.177177177,0.177177177,"Con, SNP","Con, SNP",2,2
moray22/file141884.txt,CE,BC,CE,0.860053941,0.815103386,0.23164519,0.241833983,"SNP, Con","SNP, Ind",2,2
eilean-siar22/ward09_preferenceprofile.txt,BD,DJ,BD,0.661742984,0.619645495,0.124815362,0.143279173,"Ind, SNP","Ind, Ind",2,2
eilean-siar22/ward_05_preferenceprofile.txt,BC,BC,BC,0.918918919,0.918918919,0.607520564,0.607520564,"Ind, Ind","Ind, Ind",2,2
eilean-siar22/ward_03_preferenceprofile.txt,BC,BC,BC,0.945537065,0.945537065,0.656580938,0.656580938,"Ind, Ind","Ind, Ind",2,2
eilean-siar22/ward07_preferenceprofile.txt,CD,CD,CD,0.714079422,0.714079422,0.149458484,0.149458484,"Ind, SNP","Ind, SNP",2,2
eilean-siar22/ward08_preferenceprofile.txt,AC,AC,AC,0.835860839,0.835860839,0.360392507,0.360392507,"Ind, Ind","Ind, Ind",2,2
eilean-siar22/ward_04_preferenceprofile.txt,AB,AB,AB,0.972936401,0.972936401,0.629228687,0.629228687,"Ind, Ind","Ind, Ind",2,2
eilean-siar22/ward02_preferenceprofile.txt,EF,FG,FG,0.60949464,0.60949464,0.101071975,0.101071975,"Ind, SNP","Ind, SNP",2,2
eilean-siar22/ward10_preferenceprofile.txt,EG,CG,EG,0.704011065,0.646611342,0.122406639,0.173582296,"Ind, SNP","Ind, Ind",2,2
glasgow22/Ward5.blt,BD,AB,BD,0.622057001,0.44330855,0.046468401,0.190210657,"Lab, SNP","SNP, SNP",2,1
glasgow22/Ward18.blt,BE,AE,AE,0.717119448,0.717119448,0.046859278,0.046859278,"Lab, SNP","Lab, SNP",2,2
glasgow22/Ward19.blt,DF,BD,DF,0.823465508,0.530010864,0.079033134,0.3301195,"SNP, Lab","Lab, Lab",2,1
glasgow22/Ward4.blt,DE,DF,DE,0.845893607,0.519715352,0.062062529,0.364675688,"SNP, Lab","Lab, Lab",2,1
glasgow22/Ward6.blt,BF,BF,BF,0.569677668,0.569677668,0.1119475,0.1119475,"SNP, Grn","Grn, SNP",2,2
glasgow22/Ward7.blt,AB,AB,AB,0.63699595,0.63699595,0.201267829,0.201267829,"SNP, Grn","Grn, SNP",2,2
glasgow22/Ward3.blt,AD,AB,AD,0.837411208,0.535122336,0.076784305,0.379524185,"Lab, SNP","Lab, Lab",2,1
glasgow22/Ward22.blt,AB,BG,AB,0.810578331,0.685212299,0.135248902,0.168923865,"Lab, SNP","SNP, Grn",2,2
glasgow22/Ward23.blt,AC,CE,CD,0.761020428,0.472094614,0.026683609,0.270354804,"Lab, SNP","Lab, Lab",2,1
glasgow22/Ward2.blt,AC,AC,AC,0.729015202,0.729015202,0.049966953,0.049966953,"SNP, Lab","Lab, SNP",2,2
glasgow22/Ward21.blt,AB,AC,AB,0.887358365,0.534103533,0.069984448,0.388802488,"Lab, SNP","Lab, Lab",2,1
glasgow22/Ward20.blt,EG,DE,EG,0.80854583,0.500068918,0.056788422,0.327911785,"Lab, SNP","Lab, Lab",2,1
glasgow22/Ward1.blt,BD,BD,BD,0.721592173,0.721592173,0.053480098,0.053480098,"Lab, SNP","Lab, SNP",2,2
glasgow22/Ward11.blt,AF,AF,AF,0.760288809,0.760288809,0.452129964,0.452129964,"Grn, SNP","Grn, SNP",2,2
glasgow22/Ward10.blt,BG,BC,BG,0.756852792,0.628764805,0.058037225,0.159221658,"Lab, SNP","SNP, Grn",2,2
glasgow22/Ward12.blt,CD,BC,CD,0.836369966,0.829755135,0.155042358,0.199025183,"Lab, SNP","Lab, Grn",2,2
glasgow22/Ward13.blt,AB,AB,AB,0.753505621,0.753505621,0.066288098,0.066288098,"SNP, Lab","Lab, SNP",2,2
glasgow22/Ward17.blt,AD,AD,AD,0.848895434,0.848895434,0.060677467,0.060677467,"Lab, SNP","Lab, SNP",2,2
glasgow22/Ward16.blt,AB,AB,AB,0.716505525,0.716505525,0.057493094,0.057493094,"SNP, Lab","SNP, Lab",2,2
glasgow22/Ward9.blt,BD,BD,BD,0.68115942,0.68115942,0.057476943,0.057476943,"SNP, Lab","SNP, Lab",2,2
glasgow22/Ward14.blt,AE,AE,AE,0.761970662,0.761970662,0.043730971,0.043730971,"Lab, SNP","Lab, SNP",2,2
glasgow22/Ward15.blt,AG,FG,AG,0.790746954,0.534698923,0.065336394,0.333921949,"Lab, SNP","SNP, SNP",2,1
glasgow22/Ward8.blt,AG,AJ,AG,0.696902942,0.493326422,0.042114811,0.255021381,"SNP, Lab","SNP, SNP",2,1
aberdeenshire12-ballots/aberdeenshire12-18.blt,AD,AD,AD,0.621601942,0.621601942,0.059223301,0.059223301,"Con, SNP","Con, SNP",2,2
aberdeenshire12-ballots/aberdeenshire12-19.blt,BE,BC,BE,0.681232092,0.558022923,0.046800382,0.142550143,"SNP, Con","Con, LD",2,2
aberdeenshire12-ballots/aberdeenshire12-09.blt,CF,BC,CF,0.800047495,0.603894562,0.118499169,0.405366896,"SNP, LD","SNP, SNP",2,1
aberdeenshire12-ballots/aberdeenshire12-08.blt,DE,DE,DE,0.707723486,0.707723486,0.095924341,0.095924341,"SNP, Ind","SNP, Ind",2,2
aberdeenshire12-ballots/aberdeenshire12-11.blt,FH,BF,FH,0.653989134,0.466399771,0.058049757,0.315127252,"SNP, LD","SNP, SNP",2,1
aberdeenshire12-ballots/aberdeenshire12-05.blt,AD,AB,AD,0.582818641,0.469399214,0.052779337,0.162829871,"SNP, Ind","SNP, SNP",2,1
aberdeenshire12-ballots/aberdeenshire12-04.blt,CE,CH,CE,0.724385246,0.511782787,0.088627049,0.337090164,"SNP, Ind","SNP, SNP",2,1
aberdeenshire12-ballots/aberdeenshire12-10.blt,BC,BC,BC,0.777991043,0.777991043,0.267754319,0.267754319,"SNP, LD","SNP, LD",2,2
aberdeenshire12-ballots/aberdeenshire12-06.blt,DE,BE,DE,0.822479339,0.602975207,0.064793388,0.460165289,"SNP, Ind","SNP, SNP",2,1
aberdeenshire12-ballots/aberdeenshire12-12.blt,CD,BD,CD,0.738022113,0.715909091,0.190724816,0.233415233,"SNP, LD","SNP, Grn",2,2
aberdeenshire12-ballots/aberdeenshire12-13.blt,BD,BC,BC,0.783695103,0.783695103,0.141847552,0.141847552,"SNP, Con","SNP, Con",2,2
aberdeenshire12-ballots/aberdeenshire12-07.blt,AC,AF,AC,0.78659612,0.605526161,0.114638448,0.373603762,"SNP, LD","SNP, SNP",2,1
aberdeenshire12-ballots/aberdeenshire12-03.blt,BI,BI,BI,0.582521966,0.582521966,0.164806459,0.164806459,"SNP, SNP","SNP, SNP",1,1
aberdeenshire12-ballots/aberdeenshire12-17.blt,AC,AB,AC,0.608179753,0.455188084,0.130775057,0.306235799,"SNP, Lab","SNP, SNP",2,1
aberdeenshire12-ballots/aberdeenshire12-16.blt,AC,BC,AC,0.832826748,0.781155015,0.270212766,0.396960486,"Con, SNP","Con, LD",2,2
aberdeenshire12-ballots/aberdeenshire12-02.blt,FH,BF,FH,0.679451091,0.507741027,0.114356087,0.328993666,"SNP, Con","SNP, SNP",2,1
aberdeenshire12-ballots/aberdeenshire12-14.blt,AE,AE,AE,0.704027171,0.704027171,0.144832606,0.144832606,"SNP, Con","SNP, Con",2,2
